amount,year
4244280.242000001,1952
5153373.625999999,1953
5153373.625999999,1954
5153373.625999999,1955
6971560.393,1956
5153373.625999999,1957
16062494.229999999,1958
11517027.309999999,1959
15153400.850000001,1960
18789774.38,1961
23335241.3,1962
21517054.53,1963
29698894.99,1964
38789828.82,1965
46062575.89,1966
52426229.58,1967
56062603.12,1968
65153536.95,1969
75153564.18,1970
76971750.94000001,1971
86062684.78,1972
99699085.53999999,1973
103335459.1,1974
112426392.89999999,1975
116971859.8,1976
126971887,1977
131517354.00000001,1978
151517408.4,1979
136971914.3,1980
136971914.3,1981
142426474.6,1982
166062902.6,1983
156971968.7,1984
171517462.9,1985
192426610.7,1986
212426665.1,1987
222426692.3,1988
236063093.1,1989
261517707.79999998,1990
271517735.09999996,1991
292426882.90000004,1992
326972431.5,1993
322426964.6,1994
326972431.5,1995
356972513.1,1996
321517871.2,1997
341517925.6,1998
306972377,1999
362427073.4,2000
427590754.40000004,2001
355378392,2002
398365037,2003
407064773,2004
435259769,2005
452717377,2006
492347254,2007
608751594,2008
703696603,2009
709552036,2010
703192770,2011
704233653,2012
816762759,2013
815512522,2014
827770685,2015
918307813,2016
1019153397,2017
1152029842,2018
1061386249,2019
1016562909,2020
960103364,2021
