year,ResponsibleApplicantGender,n,freq
1991,f,110,0.0998185117967332
1991,m,992,0.9001814882032668
1992,f,134,0.10221205186880244
1992,m,1177,0.8977879481311976
1993,f,160,0.10158730158730159
1993,m,1415,0.8984126984126984
1994,f,177,0.11530944625407166
1994,m,1358,0.8846905537459283
1995,f,174,0.12850812407680945
1995,m,1180,0.8714918759231906
1996,f,215,0.11944444444444445
1996,m,1585,0.8805555555555555
1997,f,212,0.1425689307330195
1997,m,1275,0.8574310692669805
1998,f,208,0.14720452937013448
1998,m,1205,0.8527954706298655
1999,f,232,0.15446071904127828
1999,m,1270,0.8455392809587217
2000,f,315,0.16737513283740701
2000,m,1567,0.832624867162593
2001,f,402,0.2134891131173659
2001,m,1481,0.786510886882634
2002,f,401,0.2316580011554015
2002,m,1330,0.7683419988445985
2003,f,494,0.24027237354085604
2003,m,1562,0.7597276264591439
2004,f,505,0.2423224568138196
2004,m,1579,0.7576775431861804
2005,f,549,0.22999581064097194
2005,m,1838,0.770004189359028
2006,f,577,0.24637062339880444
2006,m,1765,0.7536293766011956
2007,f,626,0.26115978306216103
2007,m,1771,0.738840216937839
2008,f,750,0.2737226277372263
2008,m,1990,0.7262773722627737
2009,f,777,0.27129888268156427
2009,m,2087,0.7287011173184358
2010,f,804,0.2808243101641635
2010,m,2059,0.7191756898358366
2011,f,903,0.2923276141146002
2011,m,2186,0.7076723858853998
2012,f,936,0.29818413507486463
2012,m,2203,0.7018158649251354
2013,f,993,0.31070087609511887
2013,m,2203,0.6892991239048811
2014,f,955,0.29909176323207015
2014,m,2238,0.7009082367679298
2015,f,886,0.3103327495621716
2015,m,1969,0.6896672504378284
2016,f,933,0.32050841635176913
2016,m,1978,0.6794915836482308
2017,f,871,0.3234311177125882
2017,m,1822,0.6765688822874119
2018,f,902,0.3171589310829817
2018,m,1942,0.6828410689170182
2019,f,1170,0.3360137851809305
2019,m,2312,0.6639862148190695
2020,f,1178,0.35546167773083887
2020,m,2136,0.6445383222691611
2021,f,955,0.33733663016601906
2021,m,1876,0.6626633698339809
