year,research_area,sum_granted,perc
2002,LS,119848762,39.98460785212061
2002,MINT,121224315,40.44352746352893
2002,SSH,58664168,19.571864684350455
2003,LS,119204079,35.16653460098374
2003,MINT,132894301,39.20530298623462
2003,SSH,86871838,25.628162412781645
2004,LS,133757003,39.23701751515347
2004,MINT,131696306,38.632521283412814
2004,SSH,75441620,22.13046120143371
2005,LS,150183612,39.35399597803344
2005,MINT,140518935,36.821471591904064
2005,SSH,90919721,23.824532430062494
2006,LS,150464657,37.755322060945794
2006,MINT,147401168,36.98661653147939
2006,SSH,100659863,25.25806140757481
2007,LS,167893872,38.24519371065062
2007,MINT,157310937,35.834466062995766
2007,SSH,113788580,25.920340226353616
2008,LS,220614446,40.38807173389174
2008,MINT,199885812,36.59326331532795
2008,SSH,125736382,23.018664950780305
2009,LS,244694578,38.62827766619969
2009,MINT,241518234,38.126849726936705
2009,SSH,147246904,23.244872606863606
2010,LS,276966777,42.82598073387048
2010,MINT,217074334,33.56511328325045
2010,SSH,152684947,23.608905982879076
2011,LS,254244178,39.86541216470083
2011,MINT,223494002,35.043793632389374
2011,SSH,160018121,25.090794202909805
2012,LS,284774651,42.57911170897492
2012,MINT,225905407,33.77706381708267
2012,SSH,158132981,23.64382447394241
2013,LS,309322081,39.85285508071345
2013,MINT,255034439,32.85847070858822
2013,SSH,211803884,27.288674210698332
2014,LS,288121850,38.35923578950381
2014,MINT,279649912,37.23132040462045
2014,SSH,183342915,24.409443805875732
2015,LS,302870944,40.24369102019585
2015,MINT,258425532,34.33804882101115
2015,SSH,191295884,25.418260158793004
2016,Interdisziplinär,38152658,4.511369046928509
2016,LS,296002123,35.00083311436193
2016,MINT,278299365,32.90756678187034
2016,SSH,233246075,27.580231056839228
2017,Interdisziplinär,73938568,7.733948168389249
2017,LS,351753367,36.793278285216466
2017,MINT,322435044,33.72659202661738
2017,SSH,207899185,21.7461815197769
2018,Interdisziplinär,94349668,8.60643614802304
2018,LS,379480804,34.61567357106593
2018,MINT,349652291,31.894761055242615
2018,SSH,272785964,24.88312922566841
2019,Interdisziplinär,90248955,9.002149965728892
2019,LS,333527039,33.26864474722736
2019,MINT,324735712,32.39172773415213
2019,SSH,254014972,25.337477552891613
2020,Interdisziplinär,76741940,8.181443950357234
2020,LS,318499131,33.95513311904789
2020,MINT,246109780,26.23771787245344
2020,SSH,296649097,31.625705058141435
2021,Interdisziplinär,74265423,8.421934618192116
2021,LS,288371623,32.70225707390027
2021,MINT,307531518,34.87504996274473
2021,SSH,211640977,24.000758345162883
1952,SSH,NA,35.66433566
1952,MINT,NA,40.25974026000001
1952,LS,NA,24.075924079999993
1953,SSH,NA,35.76423576
1953,MINT,NA,40.15984016000001
1953,LS,NA,24.075924079999993
1954,SSH,NA,25.37462537
1954,MINT,NA,37.06293707
1954,LS,NA,37.56243756
1955,SSH,NA,29.47052947
1955,MINT,NA,36.76323676
1955,LS,NA,33.76623377
1956,SSH,NA,27.97202797
1956,MINT,NA,46.45354646
1956,LS,NA,25.57442557
1957,SSH,NA,27.07292707
1957,MINT,NA,31.86813187
1957,LS,NA,41.05894106
1958,SSH,NA,8.291708292
1958,MINT,NA,72.227772228
1958,LS,NA,19.48051948
1959,SSH,NA,13.78621379
1959,MINT,NA,72.62737261999999
1959,LS,NA,13.586413590000006
1960,SSH,NA,9.190809191
1960,MINT,NA,70.829170829
1960,LS,NA,19.98001997999999
1961,SSH,NA,12.28771229
1961,MINT,NA,73.32667332
1961,LS,NA,14.38561439
1962,SSH,NA,7.192807193
1962,MINT,NA,65.834165837
1962,LS,NA,26.973026970000006
1963,SSH,NA,14.98501499
1963,MINT,NA,47.65234765
1963,LS,NA,37.36263736
1964,SSH,NA,10.98901099
1964,MINT,NA,55.84415584
1964,LS,NA,33.166833170000004
1965,SSH,NA,10.68931069
1965,MINT,NA,48.55144855
1965,LS,NA,40.75924076
1966,SSH,NA,13.38661339
1966,MINT,NA,46.85314685
1966,LS,NA,39.76023976
1967,SSH,NA,10.08991009
1967,MINT,NA,45.754245749999995
1967,LS,NA,44.15584416
1975,SSH,NA,19.78021978
1975,MINT,NA,41.058941059999995
1975,LS,NA,39.16083916
1976,SSH,NA,18.58141858
1976,MINT,NA,43.25674325999999
1976,LS,NA,38.16183816
1977,SSH,NA,18.58141858
1977,MINT,NA,39.56043955999999
1977,LS,NA,41.85814186
1978,SSH,NA,22.07792208
1978,MINT,NA,36.46353646
1978,LS,NA,41.45854146
1979,SSH,NA,22.37762238
1979,MINT,NA,38.56143856
1979,LS,NA,39.06093906
1980,SSH,NA,21.87812188
1980,MINT,NA,36.26373626
1980,LS,NA,41.85814186
1981,SSH,NA,22.37762238
1981,MINT,NA,36.66333666
1981,LS,NA,40.95904096
1982,SSH,NA,24.27572428
1982,MINT,NA,35.76423576
1982,LS,NA,39.96003996
1983,SSH,NA,20.37962038
1983,MINT,NA,43.05694306
1983,LS,NA,36.56343656
1984,SSH,NA,22.77722278
1984,MINT,NA,38.66133866
1984,LS,NA,38.56143856
1985,SSH,NA,20.47952048
1985,MINT,NA,40.65934066
1985,LS,NA,38.86113886
1986,SSH,NA,18.98101898
1986,MINT,NA,41.35864136
1986,LS,NA,39.66033966
1987,SSH,NA,19.98001998
1987,MINT,NA,41.55844156
1987,LS,NA,38.46153846
1988,SSH,NA,19.08091908
1988,MINT,NA,41.65834166
1988,LS,NA,39.26073926
1989,SSH,NA,18.98101898
1989,MINT,NA,39.96003996
1989,LS,NA,41.05894106
1990,SSH,NA,20.87912088
1990,MINT,NA,41.158841159999994
1990,LS,NA,37.96203796
1991,SSH,NA,18.98101898
1991,MINT,NA,41.25874126
1991,LS,NA,39.76023976
1992,SSH,NA,17.38261738
1992,MINT,NA,46.05394606
1992,LS,NA,36.56343656
1993,SSH,NA,21.77822178
1993,MINT,NA,38.46153846
1993,LS,NA,39.76023976
1994,SSH,NA,18.88111888
1994,MINT,NA,40.35964036
1994,LS,NA,40.75924076
1995,SSH,NA,18.28171828
1995,MINT,NA,38.56143856
1995,LS,NA,43.15684316
1996,SSH,NA,20.47952048
1996,MINT,NA,37.362637359999994
1996,LS,NA,42.15784216
1997,SSH,NA,19.98001998
1997,MINT,NA,38.36163836
1997,LS,NA,41.65834166
1998,SSH,NA,19.78021978
1998,MINT,NA,38.56143856
1998,LS,NA,41.65834166
1999,SSH,NA,19.48051948
1999,MINT,NA,36.86313686
1999,LS,NA,43.65634366
2000,SSH,NA,23.07692308
2000,MINT,NA,34.96503496
2000,LS,NA,41.95804196
2001,SSH,NA,19.08091908
2001,MINT,NA,37.86213786
2001,LS,NA,43.05694306
